,Draft Order,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
0,0,Tom Brady,261.68,338.0,375.0,315.2352941,287.4534314,TAM,QB,82.3,315.2352941
1,1,Cooper Kupp,270.5,117.0,295.0,100.22916666666666,84.27473196881091,LAR,WR,3.5,301.55644949230225
2,2,Jonathan Taylor,0.0,217.0,333.0,97.25065274151436,59.723157309902085,IND,RB,1.0,299.0515965734211
3,3,Justin Herbert,0.0,333.0,381.0,297.1764706,196.103268,LAC,QB,37.8,297.1764706
4,4,Joe Burrow,0.0,174.0,314.0,290.3125,186.8041667,CIN,QB,56.5,290.3125
5,5,Austin Ekeler,309.0,111.0,274.0,84.16,79.97979128299569,LAC,RB,3.0,290.0818173674462
6,6,Patrick Mahomes,285.04,374.0,362.0,286.8235294,298.380859,KAN,QB,35.5,286.8235294
7,7,Deebo Samuel,187.1,48.0,262.0,144.16161616161617,95.7567706045967,SFO,WR,19.0,285.18675542595525
8,8,Justin Jefferson,0.0,186.0,222.0,101.3818181818182,69.07406458955755,MIN,WR,6.3,282.06061095539104
9,9,Dak Prescott,335.78,135.0,321.0,280.375,320.5416667,DAL,QB,76.0,280.375
10,10,Ja'Marr Chase,0.0,0.0,224.0,121.11483253588516,40.37161084529505,CIN,WR,9.3,278.8122706968438
11,11,Josh Allen,282.56,395.0,403.0,261.3529412,247.3259804,BUF,QB,22.8,275.4096851
12,12,Aaron Rodgers,272.38,382.0,332.0,259.5,260.9791667,GNB,QB,92.8,275.3417153
13,13,Joe Mixon,225.4,79.0,246.0,72.23529411764706,55.58549517810754,CIN,RB,9.8,274.16042820093844
14,14,Davante Adams,210.7,243.0,221.0,85.6986301369863,72.257984937437,GNB,WR,11.5,271.8804040674068
15,15,Najee Harris,0.0,0.0,227.0,71.09476309226932,23.69825436408977,PIT,RB,7.3,268.14238127629903
16,16,Kirk Cousins,242.42,306.0,300.0,265.875,258.8527778,MIN,QB,115.5,265.875
17,17,Stefon Diggs,212.1,202.0,183.0,78.63295880149813,92.43666976680012,BUF,WR,12.8,263.7471279494252
18,18,Mark Andrews,207.2,112.0,194.0,89.57692307692307,79.09404961688067,BAL,TE,23.3,260.4888129711285
19,19,Tyreek Hill,188.3,242.0,186.0,84.62222222222222,84.31698637412923,KAN,WR,21.8,257.0831541403264
20,20,Travis Kelce,254.3,208.0,171.0,80.56637168141593,83.75597224859787,KAN,TE,14.0,257.0406201455229
21,21,Mike Evans,230.7,179.0,189.0,90.12765957446808,87.69210777400485,TAM,WR,25.0,255.3625319200052
22,22,Jimmy Garoppolo,243.32,64.0,228.0,255.3333333,229.8263889,SFO,QB,235.0,255.3333333
23,23,Nick Chubb,255.2,192.0,195.0,79.79446640316205,77.59108017029956,CLE,RB,13.8,254.90999798682776
24,24,CeeDee Lamb,0.0,144.0,154.0,95.19597989949747,61.22388519172439,DAL,WR,17.5,253.261642610618
