,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
0,Josh Allen,282.56,395.0,403.0,261.3529411764706,247.32598039215688,BUF,QB,22.8,96.32267003254063
1,Justin Herbert,333.0,333.0,381.0,297.1764705882353,196.1032679738562,LAC,QB,37.8,-1.7341865962404768
2,Lamar Jackson,415.68,333.0,240.0,241.5,212.63333333333333,BAL,QB,49.3,213.47244502593634
3,Joe Burrow,174.0,174.0,314.0,290.3125,186.80416666666667,CIN,QB,56.5,119.29283446549454
4,Kyler Murray,279.28,379.0,300.0,272.2142857142857,251.96726190476195,ARI,QB,59.3,122.87372973838339
5,Jalen Hurts,108.0,108.0,312.0,210.66666666666663,93.93333333333334,PHI,QB,66.8,202.0741271613233
6,Dak Prescott,335.78,135.0,321.0,280.375,320.5416666666667,DAL,QB,76.0,153.54816627840574
7,Russell Wilson,326.6,360.0,243.0,224.14285714285717,249.5684523809524,SEA,QB,77.3,64.00851471448121
8,Tom Brady,261.68,338.0,375.0,315.2352941176471,287.453431372549,TAM,QB,82.3,48.590072664178265
9,Matthew Stafford,166.56,261.0,330.0,289.8235294117647,287.14950980392155,LAR,QB,86.8,152.85376492771877
10,Aaron Rodgers,272.38,382.0,332.0,259.5,260.9791666666667,GNB,QB,92.8,17.32456348855476
11,Trey Lance,65.0,65.0,65.0,101.33333333333331,33.77777777777778,SFO,QB,103.8,198.58977569516063
12,Derek Carr,244.36,272.0,257.0,283.94117647058823,265.58455882352945,LVR,QB,110.3,103.37514732804254
13,Kirk Cousins,242.42,306.0,300.0,265.875,258.8527777777778,MIN,QB,115.5,73.57330583640024
14,Tua Tagovailoa,135.0,135.0,181.0,205.30769230769232,129.26923076923077,MIA,QB,132.5,122.39540341566511
15,Justin Fields,127.0,127.0,127.0,156.41666666666666,52.138888888888886,CHI,QB,146.3,207.8443442014505
16,Trevor Lawrence,199.0,199.0,199.0,214.8823529411765,71.62745098039215,JAX,QB,159.8,164.5784319983571
17,Matt Ryan,265.34,282.0,223.0,234.58823529411765,273.9974673202615,ATL,QB,167.5,77.56162883494527
18,Mac Jones,225.0,225.0,225.0,224.8823529411765,74.96078431372548,NWE,QB,168.0,121.65479432296175
19,Jameis Winston,297.36,2.0,117.0,169.14285714285714,169.75595238095238,NOR,QB,176.3,182.3402419545549
20,Ryan Tannehill,222.18,343.0,268.0,220.8823529411765,230.65522875816995,TEN,QB,187.3,88.90909424147314
21,Carson Wentz,271.86,198.0,258.0,211.1764705882353,228.32271241830065,IND,QB,188.0,125.62504758881411
22,Baker Mayfield,227.18,248.0,181.0,216.2142857142857,227.02976190476195,CLE,QB,198.3,90.4177011149931
23,Davis Mills,157.0,157.0,157.0,206.15384615384616,68.71794871794872,HOU,QB,205.0,141.1813848451537
24,Jared Goff,247.52,240.0,195.0,233.14285714285717,263.0642857142857,DET,QB,212.5,81.46983499561043
25,Taysom Hill,102.2,149.0,118.0,81.83333333333333,47.84027777777777,NOR,QB,222.0,167.12578051211753
26,Zach Wilson,152.0,152.0,152.0,180.23076923076923,60.07692307692307,NYJ,QB,227.3,166.48349998326424
27,Jimmy Garoppolo,243.32,64.0,228.0,255.33333333333331,229.8263888888889,SFO,QB,235.0,173.0210361289282
28,Daniel Jones,210.98,180.0,167.0,221.63636363636363,222.44289044289044,NYG,QB,240.0,165.99702854176826
29,Marcus Mariota,85.02,26.0,15.0,0.4,133.41904761904763,LVR,QB,269.0,149.5238780983269
30,Jacoby Brissett,215.68,21.0,72.0,117.0909090909091,105.32323232323232,MIA,QB,274.0,191.8903281443516
31,Geno Smith,1.0,1.0,54.0,176.75,69.91666666666667,SEA,QB,327.0,221.91599542912937
32,Tyler Huntley,3.0,3.0,83.0,154.85714285714286,54.11904761904762,BAL,QB,343.0,229.87417746860604
33,Drew Lock,68.0,181.0,51.0,131.5,187.91538461538465,DEN,QB,359.0,118.93989733573207
34,Sam Darnold,183.16,134.0,157.0,211.33333333333331,210.0534188034188,CAR,QB,378.0,150.32128680727612
35,Andy Dalton,199.66,136.0,84.0,190.375,219.6401515151515,CHI,QB,388.0,123.80338650201149
36,Jordan Love,21.0,21.0,21.0,68.83333333333333,22.944444444444443,GNB,QB,402.0,184.7158624328632
0,Josh Allen,282.56,395.0,403.0,261.3529411764706,247.32598039215688,BUF,QB,22.8,75.13099523270847
1,Justin Herbert,333.0,333.0,381.0,297.1764705882353,196.1032679738562,LAC,QB,37.8,168.48977157401418
2,Lamar Jackson,415.68,333.0,240.0,241.5,212.63333333333333,BAL,QB,49.3,95.45048626373625
3,Joe Burrow,174.0,174.0,314.0,290.3125,186.80416666666667,CIN,QB,56.5,189.17093158801978
4,Kyler Murray,279.28,379.0,300.0,272.2142857142857,251.96726190476195,ARI,QB,59.3,94.79753571428574
5,Jalen Hurts,108.0,108.0,312.0,210.66666666666663,93.93333333333334,PHI,QB,66.8,175.91035482654604
6,Dak Prescott,335.78,135.0,321.0,280.375,320.5416666666667,DAL,QB,76.0,107.3088035714286
7,Russell Wilson,326.6,360.0,243.0,224.14285714285717,249.5684523809524,SEA,QB,77.3,84.49441666666668
8,Tom Brady,261.68,338.0,375.0,315.2352941176471,287.453431372549,TAM,QB,82.3,90.6220910364146
9,Matthew Stafford,166.56,261.0,330.0,289.8235294117647,287.14950980392155,LAR,QB,86.8,125.66159057853912
10,Aaron Rodgers,272.38,382.0,332.0,259.5,260.9791666666667,GNB,QB,92.8,95.85047303921573
11,Trey Lance,65.0,65.0,65.0,101.33333333333331,33.77777777777778,SFO,QB,103.8,235.22647988041354
12,Derek Carr,244.36,272.0,257.0,283.94117647058823,265.58455882352945,LVR,QB,110.3,100.72336309523813
13,Kirk Cousins,242.42,306.0,300.0,265.875,258.8527777777778,MIN,QB,115.5,123.01124534044388
14,Tua Tagovailoa,135.0,135.0,181.0,205.30769230769232,129.26923076923077,MIA,QB,132.5,193.53466919844857
15,Justin Fields,127.0,127.0,127.0,156.41666666666666,52.138888888888886,CHI,QB,146.3,220.9505272301227
16,Trevor Lawrence,199.0,199.0,199.0,214.8823529411765,71.62745098039215,JAX,QB,159.8,184.66003135100186
17,Matt Ryan,265.34,282.0,223.0,234.58823529411765,273.9974673202615,ATL,QB,167.5,117.86421603641458
18,Mac Jones,225.0,225.0,225.0,224.8823529411765,74.96078431372548,NWE,QB,168.0,191.85987739711268
19,Jameis Winston,297.36,2.0,117.0,169.14285714285714,169.75595238095238,NOR,QB,176.3,122.7589216224951
20,Ryan Tannehill,222.18,343.0,268.0,220.8823529411765,230.65522875816995,TEN,QB,187.3,94.15384706959709
21,Carson Wentz,271.86,198.0,258.0,211.1764705882353,228.32271241830065,IND,QB,188.0,92.92611767399268
22,Baker Mayfield,227.18,248.0,181.0,216.2142857142857,227.02976190476195,CLE,QB,198.3,115.09247023809529
23,Davis Mills,157.0,157.0,157.0,206.15384615384616,68.71794871794872,HOU,QB,205.0,215.92954131652652
24,Jared Goff,247.52,240.0,195.0,233.14285714285717,263.0642857142857,DET,QB,212.5,114.21355357142858
25,Taysom Hill,102.2,149.0,118.0,81.83333333333333,47.84027777777777,NOR,QB,222.0,208.9076908801982
26,Zach Wilson,152.0,152.0,152.0,180.23076923076923,60.07692307692307,NYJ,QB,227.3,210.20213720103413
