,Player,FantasyPoints,Production,Prediction
0,Cooper Kupp,295.0,1.0,1.0
1,Deebo Samuel,262.0,1.0,1.0
2,Ja'Marr Chase,224.0,1.0,1.0
3,Justin Jefferson,222.0,1.0,1.0
4,Davante Adams,221.0,1.0,1.0
5,Mike Evans,189.0,1.0,1.63
6,Tyreek Hill,186.0,1.0,5.38
7,Stefon Diggs,183.0,1.0,1.79
8,Mike Williams,171.0,1.0,1.0
9,D.K. Metcalf,169.0,20.0,2.45
10,Tyler Lockett,168.0,1.0,1.0
11,Diontae Johnson,167.0,1.0,1.0
12,Hunter Renfrow,156.0,1.0,1.0
13,CeeDee Lamb,154.0,1.0,1.0
14,Keenan Allen,152.0,1.0,1.0
15,Michael Pittman Jr.,151.0,1.0,1.0
16,Tee Higgins,145.0,1.0,1.0
17,D.J. Moore,145.0,22.0,17.5
18,Chris Godwin,144.0,1.0,1.0
19,Jaylen Waddle,142.0,1.0,1.0
20,Brandin Cooks,142.0,1.0,1.0
21,Darnell Mooney,139.0,1.0,1.0
22,Amon-Ra St. Brown,137.0,1.0,1.6
23,Terry McLaurin,137.0,1.0,1.0
24,Marquise Brown,135.0,1.0,1.0
25,Amari Cooper,135.0,1.0,1.46
26,Adam Thielen,133.0,1.0,1.0
27,Christian Kirk,131.0,1.0,1.0
28,Kendrick Bourne,126.0,1.0,1.0
29,DeVonta Smith,122.0,1.0,1.0
30,A.J. Brown,118.0,1.0,2.71
31,Van Jefferson,118.0,1.0,1.0
32,Tyler Boyd,117.0,1.0,1.0
33,Brandon Aiyuk,114.0,2.0,7.32
34,K.J. Osborn,109.0,1.0,1.0
35,Chase Claypool,108.0,1.0,1.0
36,Marvin Jones,107.0,30.0,30.0
37,Marquez Callaway,106.0,1.0,1.0
38,DeAndre Hopkins,105.0,1.0,1.0
39,A.J. Green,103.0,1.0,1.0
40,Allen Lazard,103.0,1.0,1.0
41,Jakobi Meyers,103.0,1.0,1.0
42,Tim Patrick,103.0,16.0,14.48
43,Cedrick Wilson Jr.,103.0,1.0,1.0
44,Russell Gage,97.0,1.0,1.0
45,Elijah Moore,95.0,1.0,4.12
46,Courtland Sutton,92.0,1.0,10.55
47,Robert Woods,92.0,1.0,1.0
48,Gabriel Davis,91.0,1.0,1.0
49,Emmanuel Sanders,90.0,1.0,1.0
50,Robby Anderson,86.0,42.0,42.0
51,Odell Beckham Jr.,85.0,1.0,1.0
52,Byron Pringle,85.0,2.0,2.0
53,Kalif Raymond,84.0,1.0,1.0
54,Mecole Hardman,82.0,1.0,1.0
55,Jarvis Landry,81.0,1.0,1.0
56,Antonio Brown,79.0,1.0,8.9
57,Cole Beasley,77.0,1.0,2.07
58,Deonte Harris,77.0,18.0,18.0
59,Donovan Peoples-Jones,76.0,1.0,1.34
60,Braxton Berrios+,75.0,32.0,16.21
61,Bryan Edwards,75.0,1.0,1.0
62,Quez Watkins,73.0,1.0,1.0
63,Corey Davis,71.0,1.0,1.2
64,Nick Westbrook-Ikhine,70.0,1.0,1.0
65,Nelson Agholor,66.0,1.0,1.0
66,Randall Cobb,66.0,1.0,1.0
67,Jalen Guyton,66.0,1.0,1.0
68,DeVante Parker,64.0,1.0,1.0
69,Laviska Shenault Jr.,64.0,1.0,1.0
70,DeAndre Carter,63.0,8.0,8.0
71,Freddie Swain,62.0,7.0,7.0
72,Henry Ruggs III,61.0,44.0,44.0
73,Marquez Valdes-Scantling,61.0,1.0,1.56
74,Josh Palmer,60.0,27.0,27.0
75,Jamison Crowder,59.0,1.0,1.0
76,Zay Jones,59.0,1.0,1.05
77,Olamide Zaccheaus,59.0,1.0,1.05
78,Rashod Bateman,58.0,1.0,1.47
79,Jauan Jennings,58.0,1.0,1.0
80,Michael Gallup,57.0,1.0,1.0
81,Zach Pascal,57.0,1.0,1.0
82,DeSean Jackson,56.0,3.0,12.63
83,Tre'Quan Smith,56.0,1.0,1.0
84,Rondale Moore,55.0,1.0,6.01
85,Jamal Agnew,52.0,47.0,47.0
86,Kenny Golladay,52.0,1.0,1.0
87,Josh Reynolds,52.0,1.0,1.0
88,Keelan Cole,51.0,17.0,17.0
89,Nico Collins,51.0,1.0,1.0
90,T.Y. Hilton,51.0,1.0,1.0
91,Devin Duvernay,50.0,1.0,1.0
92,Julio Jones,49.0,1.0,2.0
93,Allen Robinson,49.0,58.0,48.44
94,Laquon Treadwell,49.0,39.0,39.0
95,Jerry Jeudy,47.0,1.0,1.0
96,Mack Hollins,46.0,10.0,10.0
97,Danny Amendola,45.0,80.0,80.0
98,Jalen Reagor,45.0,37.0,37.0
99,Demarcus Robinson,44.0,1.0,1.0
100,Chris Conley,43.0,12.0,12.0
101,Darius Slayton,43.0,1.0,1.79
102,Kadarius Toney,43.0,1.0,1.0
103,Sammy Watkins,43.0,1.0,1.0
104,Sterling Shepard,42.0,1.0,4.79
105,James Washington,42.0,1.0,1.0
106,Calvin Ridley,40.0,101.0,101.0
107,Damiere Byrd,39.0,13.0,13.0
108,Ashton Dulin,39.0,6.0,11.54
109,Antoine Wesley,39.0,40.0,37.145
110,Adam Humphries,38.0,36.0,36.0
111,Marquise Goodwin,37.0,1.0,1.0
112,Lil'Jordan Humphrey,37.0,21.0,21.0
113,Tyler Johnson,36.0,34.0,35.29
114,Cyril Grayson,35.0,52.0,49.185
115,Chris Moore,35.0,35.0,35.0
116,Chester Rogers,35.0,33.0,33.0
117,Quintez Cephus,34.0,91.0,91.0
118,Rashard Higgins,34.0,1.0,1.3
119,Cam Sims,34.0,1.0,1.67
120,Isaiah McKenzie,33.0,1.0,1.0
121,Malik Turner,33.0,25.0,25.0
122,Brandon Zylstra,31.0,26.0,26.0
123,John Ross,30.0,24.0,24.0
124,Jakeem Grant,29.0,11.0,11.0
125,Isaiah Ford,28.0,31.0,31.0
126,Greg Ward,28.0,9.0,14.53
127,Tavon Austin,27.0,55.0,55.0
128,DJ Chark,27.0,96.0,96.0
129,Ray-Ray McCloud,27.0,62.0,62.0
130,Kendall Hinton,24.0,29.0,29.0
131,Ihmir Smith-Marsette,24.0,15.0,15.0
132,Anthony Schwartz,23.0,28.0,28.0
133,Tajae Sharpe,23.0,45.0,45.0
134,Albert Wilson,23.0,54.0,54.0
135,Parris Campbell,22.0,1.0,1.0
136,Breshad Perriman,22.0,1.0,1.0
137,James Proche,20.0,23.0,22.12
138,JuJu Smith-Schuster,20.0,1.0,1.0
139,Noah Brown,18.0,43.0,43.0
140,D'Wayne Eskridge,18.0,63.0,63.0
141,KhaDarel Hodge,18.0,38.0,38.0
142,Mohamed Sanu,18.0,73.0,73.0
143,Dyami Brown,16.0,1.0,1.0
144,N'Keal Harry,16.0,1.0,1.0
145,Marcus Johnson,16.0,69.0,67.26
146,Terrace Marshall Jr.,16.0,2.0,2.0
147,Kristian Wilkerson,16.0,105.0,102.175
148,Dante Pettis,15.0,106.0,104.115
149,Trent Sherfield,15.0,53.0,53.0
150,Scott Miller,14.0,50.0,50.0
151,Ty Montgomery,14.0,60.0,60.0
152,Denzel Mims,13.0,59.0,59.0
153,Ben Skowronek,13.0,41.0,41.0
154,Kenny Stills,13.0,82.0,82.0
155,Tom Kennedy,12.0,65.0,61.56
156,Phillip Dorsett,11.0,81.0,81.0
157,Dez Fitzpatrick,11.0,103.0,103.0
158,Collin Johnson,11.0,70.0,69.365
159,Jeff Smith,11.0,48.0,48.0
160,Equanimeous St. Brown,11.0,1.0,1.0
161,Trinity Benson,10.0,92.0,92.0
162,Chris Hogan,10.0,100.0,100.0
163,Shi Smith,10.0,74.0,76.0
164,Auden Tate,10.0,66.5,68.26
165,Cameron Batson,9.0,99.0,99.0
166,Josh Gordon,9.0,1.0,1.0
167,Anthony Miller,9.0,119.5,119.5
168,Dezmon Patmon,8.0,86.0,83.91
169,Preston Williams,8.0,88.0,88.0
170,KJ Hamler,7.0,1.0,1.0
171,Andre Roberts,7.0,2.0,2.0
172,Dede Westbrook,7.0,64.0,64.0
173,C.J. Board,6.0,75.0,75.885
174,Ja'Marcus Bradley,6.0,66.5,66.5
175,Alex Erickson,6.0,4.0,4.0
176,Penny Hart,6.0,49.0,49.0
177,Dax Milne,6.0,57.0,57.0
178,Jason Moore,6.0,102.0,102.0
179,Amari Rodgers,6.0,1.0,3.98
180,Jaelon Darden,5.0,1.0,1.0
181,Will Fuller,5.0,119.5,118.405
182,Mike Thomas,5.0,71.0,67.69
183,JJ Arcega-Whiteside,4.0,19.0,19.0
184,Pharoh Cooper,4.0,98.0,94.3
185,Greg Dortch,4.0,79.0,79.0
