Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
Josh Allen,282.56,395.0,403.0,261.3529411764706,247.32598039215688,BUF,QB,22.8,276.70051120448176
Justin Herbert,0.0,333.0,381.0,297.1764705882353,196.1032679738562,LAC,QB,37.8,297.17647058823496
Lamar Jackson,415.68,333.0,240.0,241.5,212.63333333333333,BAL,QB,49.3,241.5
Joe Burrow,0.0,174.0,314.0,290.3125,186.80416666666667,CIN,QB,56.5,290.3125
Kyler Murray,279.28,379.0,300.0,272.2142857142857,251.96726190476195,ARI,QB,59.3,250.49362920168062
Jalen Hurts,0.0,108.0,312.0,210.66666666666663,93.93333333333334,PHI,QB,66.8,210.66666666666674
Dak Prescott,335.78,135.0,321.0,280.375,320.5416666666667,DAL,QB,76.0,280.375
Russell Wilson,326.6,360.0,243.0,224.14285714285717,249.5684523809524,SEA,QB,77.3,224.14285714285742
Tom Brady,261.68,338.0,375.0,315.2352941176471,287.453431372549,TAM,QB,82.3,315.2352941176469
Matthew Stafford,166.56,261.0,330.0,289.8235294117647,287.14950980392155,LAR,QB,86.8,251.637366542771
Aaron Rodgers,272.38,382.0,332.0,259.5,260.9791666666667,GNB,QB,92.8,268.6079096638656
Trey Lance,0.0,0.0,65.0,101.33333333333331,33.77777777777778,SFO,QB,103.8,101.33333333333336
Derek Carr,244.36,272.0,257.0,283.94117647058823,265.58455882352945,LVR,QB,110.3,250.85814870178862
Kirk Cousins,242.42,306.0,300.0,265.875,258.8527777777778,MIN,QB,115.5,265.875
Tua Tagovailoa,0.0,135.0,181.0,205.30769230769232,129.26923076923077,MIA,QB,132.5,205.30769230769184
Justin Fields,0.0,0.0,127.0,156.41666666666666,52.138888888888886,CHI,QB,146.3,156.41666666666643
Trevor Lawrence,0.0,0.0,199.0,214.8823529411765,71.62745098039215,JAX,QB,159.8,214.88235294117615
Matt Ryan,265.34,282.0,223.0,234.58823529411765,273.9974673202615,ATL,QB,167.5,234.5882352941179
Mac Jones,0.0,0.0,225.0,224.8823529411765,74.96078431372548,NWE,QB,168.0,213.2549705074337
Jameis Winston,297.36,2.0,117.0,169.14285714285714,169.75595238095238,NOR,QB,176.3,169.14285714285703
Ryan Tannehill,222.18,343.0,268.0,220.8823529411765,230.65522875816995,TEN,QB,187.3,220.8823529411761
Carson Wentz,271.86,198.0,258.0,211.1764705882353,228.32271241830065,IND,QB,188.0,211.1764705882353
Baker Mayfield,227.18,248.0,181.0,216.2142857142857,227.02976190476195,CLE,QB,198.3,228.21434443007973
Davis Mills,0.0,0.0,157.0,206.15384615384616,68.71794871794872,HOU,QB,205.0,206.15384615384622
Jared Goff,247.52,240.0,195.0,233.14285714285717,263.0642857142857,DET,QB,212.5,233.1428571428575
Taysom Hill,102.2,149.0,118.0,81.83333333333333,47.84027777777777,NOR,QB,222.0,81.83333333333321
Zach Wilson,0.0,0.0,152.0,180.23076923076923,60.07692307692307,NYJ,QB,227.3,180.2307692307694
Jimmy Garoppolo,243.32,64.0,228.0,255.33333333333331,229.8263888888889,SFO,QB,235.0,255.33333333333306
Daniel Jones,210.98,180.0,167.0,221.63636363636363,222.44289044289044,NYG,QB,240.0,214.81715085649648
Marcus Mariota,85.02,26.0,15.0,0.4,133.41904761904763,LVR,QB,269.0,0.39999999999999925
Jacoby Brissett,215.68,21.0,72.0,117.0909090909091,105.32323232323232,MIA,QB,274.0,129.54457008187882
Geno Smith,0.0,1.0,54.0,176.75,69.91666666666667,SEA,QB,327.0,136.68639789377292
Tyler Huntley,0.0,3.0,83.0,154.85714285714286,54.11904761904762,BAL,QB,343.0,154.85714285714303
Drew Lock,68.0,181.0,51.0,131.5,187.91538461538465,DEN,QB,359.0,106.90677655677653
Sam Darnold,183.16,134.0,157.0,211.33333333333331,210.0534188034188,CAR,QB,378.0,211.33333333333326
Andy Dalton,199.66,136.0,84.0,190.375,219.6401515151515,CHI,QB,388.0,161.58291278819215
Jordan Love,0.0,0.0,21.0,68.83333333333333,22.944444444444443,GNB,QB,402.0,68.83333333333324
