Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
Jonathan Taylor,0.0,217.0,333.0,97.25065274151436,59.723157309902085,IND,RB,1.0,299.0515965734211
Austin Ekeler,309.0,111.0,274.0,84.16,79.97979128299569,LAC,RB,3.0,290.0818173674462
Cooper Kupp,270.5,117.0,295.0,100.22916666666666,84.27473196881091,LAR,WR,3.5,301.55644949230225
Derrick Henry,294.6,314.0,175.0,36.85355648535565,67.39717519177557,TEN,RB,3.8,247.27028526910868
Christian McCaffrey,469.2,73.0,91.0,39.35,47.96204351204352,CAR,RB,4.0,233.06302977603107
Justin Jefferson,0.0,186.0,222.0,101.3818181818182,69.07406458955755,MIN,WR,6.3,282.06061095539104
Najee Harris,0.0,0.0,227.0,71.09476309226932,23.69825436408977,PIT,RB,7.3,268.14238127629903
Dalvin Cook,292.4,294.0,172.0,60.59395973154362,69.72421783121847,MIN,RB,7.8,249.73919408986131
Ja'Marr Chase,0.0,0.0,224.0,121.11483253588516,40.37161084529505,CIN,WR,9.3,278.8122706968438
Joe Mixon,225.4,79.0,246.0,72.23529411764706,55.58549517810754,CIN,RB,9.8,274.16042820093844
Davante Adams,210.7,243.0,221.0,85.6986301369863,72.257984937437,GNB,WR,11.5,271.8804040674068
Stefon Diggs,212.1,202.0,183.0,78.63295880149813,92.43666976680012,BUF,WR,12.8,263.7471279494252
Nick Chubb,255.2,192.0,195.0,79.79446640316205,77.59108017029956,CLE,RB,13.8,254.90999798682776
Travis Kelce,254.3,208.0,171.0,80.56637168141593,83.75597224859787,KAN,TE,14.0,257.04062014552295
D'Andre Swift,0.0,144.0,147.0,61.08296943231441,42.86391378737966,DET,RB,14.5,245.22324972728478
Aaron Jones,314.8,212.0,177.0,76.27118644067797,79.07524396507448,GNB,RB,17.5,250.88050179656102
CeeDee Lamb,0.0,144.0,154.0,95.19597989949747,61.22388519172439,DAL,WR,17.5,253.26164261061797
Deebo Samuel,187.1,48.0,262.0,144.16161616161617,95.7567706045967,SFO,WR,19.0,285.18675542595525
Alvin Kamara,248.52,295.0,188.0,56.99674267100977,71.32722166604987,NOR,RB,19.3,248.29342381804454
Javonte Williams,0.0,0.0,162.0,81.4140625,27.13802083333333,DEN,RB,20.0,247.3134134226512
Saquon Barkley,244.1,9.0,108.0,51.05022831050229,40.9065621461937,NYG,RB,21.3,230.67124616744948
Tyreek Hill,188.3,242.0,186.0,84.62222222222222,84.31698637412923,KAN,WR,21.8,257.08315414032637
Leonard Fournette,259.4,96.0,187.0,67.66666666666667,63.76426940639269,TAM,RB,23.0,251.98330960492845
Mark Andrews,207.2,112.0,194.0,89.57692307692307,79.09404961688067,BAL,TE,23.3,260.4888129711285
Mike Evans,230.7,179.0,189.0,90.12765957446808,87.69210777400485,TAM,WR,25.0,255.3625319200052
A.J. Brown,217.1,178.0,118.0,68.4047619047619,95.51861047449285,TEN,WR,28.5,232.8518926499125
Keenan Allen,261.5,145.0,152.0,69.59695817490494,67.81261042020977,LAC,WR,29.0,244.2661905684629
Ezekiel Elliott,311.7,172.0,205.0,73.23509933774834,71.12086516583419,DAL,RB,29.8,251.73182706815544
Tee Higgins,0.0,128.0,145.0,83.46739130434783,56.53103519668738,CIN,WR,30.8,242.5050807216317
James Conner,145.5,130.0,221.0,71.2655601659751,58.637609330829406,ARI,RB,31.8,252.7787610113975
Cam Akers,0.0,91.0,1.0,1.625,21.009171907756816,LAR,RB,32.3,186.3114079874534
David Montgomery,170.4,211.0,153.0,54.4963768115942,63.07417477010163,CHI,RB,33.5,234.34997828828173
Michael Pittman Jr.,0.0,59.0,151.0,88.68202764976958,52.29994981064928,IND,WR,37.5,242.32101460186888
Antonio Gibson,0.0,166.0,187.0,69.21290322580646,46.03358456436539,WAS,RB,38.0,243.20265170499934
Terry McLaurin,191.9,137.0,137.0,87.8743961352657,83.97291533996535,WAS,WR,41.3,235.10322705908573
Jaylen Waddle,0.0,0.0,142.0,67.21311475409836,22.40437158469945,MIA,WR,41.5,235.3103938379694
George Kittle,222.5,77.0,127.0,79.41818181818181,68.41041496041495,SFO,TE,42.8,231.09308859727383
Diontae Johnson,157.1,134.0,167.0,70.84057971014492,69.6222899863534,PIT,WR,43.0,242.63707207367315
Josh Jacobs,191.6,198.0,172.0,65.6049822064057,63.85669568905862,LVR,RB,44.3,235.70155652791772
Elijah Mitchell,0.0,0.0,146.0,53.59471365638766,17.86490455212922,SFO,RB,45.5,222.61647206324517
Darren Waller,221.0,172.0,79.0,49.57432432432432,71.73434459304025,LVR,TE,46.8,210.13766157225479
Mike Williams,161.3,106.0,171.0,90.14634146341464,94.8464761658489,LAC,WR,49.3,241.26440556464212
AJ Dillon,0.0,38.0,152.0,85.22767857142857,48.65228174603175,GNB,RB,58.8,226.62134784329413
Courtland Sutton,222.42,7.0,92.0,84.78205128205128,61.5894819466248,DEN,WR,60.0,213.39592780229518
Jerry Jeudy,0.0,106.0,47.0,50.0,44.43232323232324,DEN,WR,60.5,194.72080115623896
Damien Harris,1.2,86.0,192.0,72.37668161434978,43.37093090848696,NWE,RB,60.8,232.1619270186418
Brandin Cooks,117.5,151.0,142.0,76.0,80.3093567251462,HOU,WR,62.0,225.18131751423232
Marquise Brown,146.4,125.0,135.0,68.79324894514768,72.7653359298929,BAL,WR,62.5,221.99733417939842
