,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
0,Cooper Kupp,191.0,0.0,16.0,145.0,4.0,18.0,1947.0,295.0,3.5,17.0,19.764705882352942,16.0,1965.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Deebo Samuel,121.0,8.0,6.0,77.0,59.0,365.0,1405.0,262.0,19.0,16.0,12.375,14.0,1770.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Ja'Marr Chase,128.0,0.0,13.0,81.0,7.0,21.0,1455.0,224.0,9.3,17.0,12.294117647058824,13.0,1476.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Justin Jefferson,167.0,0.0,10.0,108.0,6.0,14.0,1616.0,222.0,6.3,17.0,16.176470588235293,10.0,1630.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Davante Adams,169.0,0.0,11.0,123.0,0.0,0.0,1553.0,221.0,11.5,16.0,18.25,11.0,1553.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mike Evans,114.0,0.0,14.0,74.0,1.0,10.0,1035.0,189.0,25.0,16.0,11.75,14.0,1045.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Tyreek Hill,159.0,0.0,9.0,111.0,9.0,96.0,1239.0,186.0,21.8,17.0,15.882352941176471,9.0,1335.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Stefon Diggs,164.0,0.0,10.0,103.0,0.0,0.0,1225.0,183.0,12.8,17.0,15.705882352941176,10.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mike Williams,129.0,0.0,9.0,76.0,0.0,0.0,1146.0,171.0,49.3,16.0,12.8125,9.0,1146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,D.K. Metcalf,129.0,0.0,12.0,75.0,1.0,6.0,967.0,169.0,0.0,17.0,12.0,12.0,973.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Tyler Lockett,107.0,0.0,8.0,73.0,2.0,9.0,1175.0,168.0,98.8,16.0,11.25,8.0,1184.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Diontae Johnson,169.0,0.0,8.0,107.0,5.0,53.0,1161.0,167.0,43.0,16.0,17.25,8.0,1214.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Hunter Renfrow,128.0,0.0,9.0,103.0,3.0,3.0,1038.0,156.0,81.3,17.0,13.588235294117647,9.0,1041.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CeeDee Lamb,120.0,0.0,6.0,79.0,9.0,76.0,1102.0,154.0,17.5,16.0,12.4375,6.0,1178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Keenan Allen,157.0,0.0,6.0,106.0,0.0,0.0,1138.0,152.0,29.0,16.0,16.4375,6.0,1138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
