,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year 
0,Christian McCaffrey,CAR,RB,23,16,16,142,116,0,0,2,1387,15,287,1005,4,469.2,0,1,0,2019
1,Lamar Jackson,BAL,QB,22,15,15,0,0,3127,36,401,1206,7,176,0,0,415.68,6,9,2,2019
2,Derrick Henry,TEN,RB,25,15,15,24,18,0,0,0,1540,16,303,206,2,294.6,0,5,3,2019
3,Aaron Jones,GNB,RB,25,16,16,68,49,0,0,0,1084,16,236,474,3,314.8,0,3,2,2019
4,Ezekiel Elliott,DAL,RB,24,16,16,71,54,0,0,0,1357,12,301,420,2,311.7,0,3,2,2019
5,Dalvin Cook,MIN,RB,24,14,14,63,53,0,0,0,1135,13,250,519,0,292.4,0,4,2,2019
6,Michael Thomas,NOR,WR,26,16,15,185,149,0,0,0,-9,0,1,1725,9,374.6,0,1,0,2019
7,Travis Kelce,KAN,TE,30,16,16,136,97,0,0,0,4,1,1,1229,5,254.3,0,1,1,2019
8,Nick Chubb,CLE,RB,24,16,16,49,36,0,0,0,1494,8,298,278,0,255.2,0,3,3,2019
9,Austin Ekeler,LAC,RB,24,16,8,108,92,0,0,0,557,3,132,993,8,309,0,3,2,2019
10,Mark Ingram,BAL,RB,30,15,15,29,26,0,0,0,1018,10,202,247,5,238.5,0,2,2,2019
11,Dak Prescott,DAL,QB,26,16,16,0,0,4902,30,596,277,3,52,0,0,335.78,11,6,2,2019
12,Mark Andrews,BAL,TE,23,15,4,98,64,0,0,0,0,0,0,852,10,207.2,0,2,1,2019
13,Russell Wilson,SEA,QB,31,16,16,0,0,4110,31,516,342,3,75,0,0,326.6,5,8,2,2019
14,Chris Godwin,TAM,WR,23,14,14,121,86,0,0,0,8,0,1,1333,9,274.1,0,0,0,2019
15,George Kittle,SFO,TE,26,14,14,107,85,0,0,0,22,0,5,1053,5,222.5,0,1,0,2019
16,Deshaun Watson,HOU,QB,24,15,15,1,1,3852,26,495,413,7,82,6,1,318.98,12,10,3,2019
17,Chris Carson,SEA,RB,25,15,15,47,37,0,0,0,1230,7,278,266,2,232.6,0,7,4,2019
18,Darren Waller,OAK,TE,27,16,16,117,90,0,0,0,5,0,2,1145,3,221,0,1,1,2019
19,Kenny Golladay,DET,WR,26,16,16,116,65,0,0,0,0,0,0,1190,11,248,0,1,1,2019
20,Saquon Barkley,NYG,RB,22,13,13,73,52,0,0,0,1003,6,217,438,2,244.1,0,1,0,2019
21,Zach Ertz,PHI,TE,29,15,15,135,88,0,0,0,0,0,0,916,6,213.6,0,1,1,2019
22,Joe Mixon,CIN,RB,23,16,15,45,35,0,0,0,1137,5,278,287,3,225.4,0,0,0,2019
23,Todd Gurley,LAR,RB,25,15,15,49,31,0,0,0,857,12,223,207,2,217.4,0,3,2,2019
24,Jared Cook,NOR,TE,32,14,7,65,43,0,0,0,0,0,0,705,9,167.5,0,0,0,2019
25,Cooper Kupp,LAR,WR,26,16,14,134,94,0,0,1,4,0,2,1161,10,270.5,0,3,0,2019
26,Julio Jones,ATL,WR,30,15,15,157,99,0,0,0,-3,0,2,1394,6,274.1,0,1,0,2019
27,DeVante Parker,MIA,WR,26,16,14,128,72,0,0,0,0,0,0,1202,9,246.2,0,0,0,2019
28,Leonard Fournette,JAX,RB,24,15,15,100,76,0,0,0,1152,3,265,522,0,259.4,0,1,1,2019
29,Jameis Winston,TAM,QB,25,16,16,0,0,5109,33,626,250,1,59,0,0,297.36,30,12,5,2019
30,Austin Hooper,ATL,TE,25,13,10,97,75,0,0,0,0,0,0,787,6,189.7,0,0,0,2019
31,Amari Cooper,DAL,WR,25,16,16,119,79,0,0,0,6,0,1,1189,8,246.5,0,0,0,2019
32,Mike Evans,TAM,WR,26,13,13,118,67,0,0,0,0,0,0,1157,8,230.7,0,0,0,2019
33,A.J. Brown,TEN,WR,22,16,11,84,52,0,0,0,60,1,3,1051,8,217.1,0,1,0,2019
34,DeAndre Hopkins,HOU,WR,27,15,15,150,104,6,1,2,18,0,2,1165,7,266.54,1,0,0,2019
35,Josh Jacobs,OAK,RB,21,13,13,27,20,0,0,0,1150,7,242,166,0,191.6,0,1,1,2019
36,Keenan Allen,LAC,WR,27,16,16,149,104,0,0,0,16,0,3,1199,6,261.5,0,0,0,2019
37,Miles Sanders,PHI,RB,22,16,11,63,50,0,0,0,818,3,179,509,3,216.7,0,2,1,2019
38,Allen Robinson,CHI,WR,26,16,15,154,98,0,0,0,2,0,1,1147,7,254.9,0,0,0,2019
39,Julian Edelman,NWE,WR,33,16,13,153,100,47,1,2,27,0,8,1117,6,254.28,0,3,1,2019
40,Alvin Kamara,NOR,RB,24,14,9,97,81,13,0,1,797,5,171,533,1,248.52,0,4,1,2019
41,Marlon Mack,IND,RB,23,14,12,17,14,0,0,0,1091,8,247,82,0,179.3,0,0,0,2019
42,Jarvis Landry,CLE,WR,27,16,16,138,83,0,0,0,10,0,1,1174,6,237.4,0,0,0,2019
43,Josh Allen,BUF,QB,23,16,16,0,0,3089,20,461,510,9,109,0,0,282.56,9,14,4,2019
44,Tyler Lockett,SEA,WR,27,16,16,110,82,0,0,0,-5,0,4,1057,8,235.2,0,1,0,2019
45,DJ Chark,JAX,WR,23,15,14,118,73,0,0,0,20,0,2,1008,8,223.8,0,0,0,2019
46,Kenyan Drake,2TM,RB,25,14,10,68,50,0,0,0,817,8,170,345,0,212.2,0,2,1,2019
47,Patrick Mahomes,KAN,QB,24,14,14,0,0,4031,26,484,218,2,43,0,0,285.04,5,3,2,2019
48,Phillip Lindsay,DEN,RB,25,16,16,48,35,0,0,0,1011,7,224,196,0,197.7,0,0,0,2019
49,Kyler Murray,ARI,QB,22,16,16,0,0,3722,20,542,544,4,93,0,0,279.28,12,5,2,2019
50,Courtland Sutton,DEN,WR,24,16,14,124,72,38,0,1,17,0,3,1112,6,222.42,0,2,0,2019
51,Stefon Diggs,MIN,WR,26,15,15,94,63,0,0,1,61,0,5,1130,6,212.1,0,4,3,2019
52,John Brown,BUF,WR,29,15,15,115,72,28,1,1,7,0,2,1060,6,219.82,0,0,0,2019
53,Hunter Henry,LAC,TE,25,12,12,76,55,0,0,0,0,0,0,652,5,148.2,0,1,1,2019
54,Michael Gallup,DAL,WR,23,14,12,113,66,0,0,0,0,0,0,1107,6,212.7,0,0,0,2019
55,Aaron Rodgers,GNB,QB,36,16,16,0,0,4002,26,569,183,1,46,0,0,272.38,4,4,4,2019
56,Tyler Higbee,LAR,TE,26,15,15,89,69,0,0,0,0,0,0,734,3,160.4,0,0,0,2019
57,D.J. Moore,CAR,WR,22,15,15,135,87,0,0,0,40,0,6,1175,4,230.5,0,2,1,2019
58,Robert Woods,LAR,WR,27,15,15,139,90,0,0,0,115,1,17,1134,2,232.9,0,0,0,2019
59,Carson Wentz,PHI,QB,27,16,16,0,0,4039,27,607,243,1,62,0,0,271.86,7,16,7,2019
60,Raheem Mostert,SFO,RB,27,16,0,22,14,0,0,0,772,8,137,180,2,165.2,0,2,2,2019
61,Dallas Goedert,PHI,TE,24,15,9,87,58,0,0,0,0,0,0,607,5,144.7,0,2,2,2019
62,Le'Veon Bell,NYJ,RB,27,15,15,78,66,0,0,0,789,3,245,461,1,213,0,1,1,2019
63,Mike Gesicki,MIA,TE,24,16,5,89,51,0,0,0,0,0,0,570,5,136,0,1,1,2019
64,Calvin Ridley,ATL,WR,25,13,10,93,63,0,0,0,34,0,2,866,7,195,0,0,0,2019
65,David Montgomery,CHI,RB,22,16,8,35,25,0,0,0,889,6,242,185,1,170.4,0,2,2,2019
66,Terry McLaurin,WAS,WR,24,14,14,93,58,0,0,0,0,0,0,919,7,191.9,0,0,0,2019
67,Tyler Boyd,CIN,WR,25,16,15,148,90,0,0,0,23,0,4,1046,5,222.9,0,2,2,2019
68,Matt Ryan,ATL,QB,34,15,15,0,0,4466,26,616,147,1,34,0,0,265.34,14,9,5,2019
69,Deebo Samuel,SFO,WR,23,15,11,81,57,0,0,0,159,3,14,802,3,187.1,0,2,1,2019
70,Marvin Jones,DET,WR,29,13,11,91,62,0,0,0,0,0,2,779,9,193.9,0,0,0,2019
71,Carlos Hyde,HOU,RB,29,16,14,16,10,0,0,0,1070,6,245,42,0,153.2,0,4,2,2019
72,Tyreek Hill,KAN,WR,25,12,12,89,58,0,0,0,23,0,8,860,7,188.3,0,0,0,2019
73,Davante Adams,GNB,WR,27,12,12,127,83,0,0,0,0,0,0,997,5,210.7,0,2,1,2019
74,Sony Michel,NWE,RB,24,16,14,20,12,0,0,0,912,7,247,94,0,152.6,0,2,1,2019
75,Tom Brady,NWE,QB,42,16,16,0,0,4057,24,613,34,3,26,0,0,261.68,8,4,1,2019
76,Jason Witten,DAL,TE,37,16,16,83,63,0,0,0,0,0,0,529,4,137.9,0,1,1,2019
77,Michael Burton,WAS,0,27,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
78,Jared Goff,LAR,QB,25,16,16,0,0,4638,22,626,40,2,33,0,0,247.52,16,10,5,2019
79,Jimmy Garoppolo,SFO,QB,28,16,16,0,0,3978,27,476,62,1,46,0,0,243.32,13,10,5,2019
80,Derek Carr,OAK,QB,28,16,16,0,0,4054,21,513,82,2,27,0,0,244.36,8,7,3,2019
81,Kirk Cousins,MIN,QB,31,15,15,1,0,3603,26,444,63,1,31,0,0,242.42,6,10,3,2019
82,Ryan Fitzpatrick,MIA,QB,37,15,13,0,0,3529,20,502,243,4,54,0,0,239.46,13,9,2,2019
83,Philip Rivers,LAC,QB,38,16,16,0,0,4615,23,591,29,0,12,0,0,233.5,20,8,3,2019
84,Baker Mayfield,CLE,QB,24,16,16,0,0,3827,22,534,141,3,28,0,0,227.18,21,6,2,2019
85,Gardner Minshew,JAX,QB,23,14,12,0,0,3271,21,470,344,0,67,0,0,223.24,6,13,7,2019
86,Drew Brees,NOR,QB,40,11,11,0,0,2979,27,378,-4,1,9,0,0,224.76,4,0,0,2019
87,Ryan Tannehill,TEN,QB,31,12,10,0,0,2742,22,286,185,4,43,0,0,222.18,6,6,3,2019
88,Jacoby Brissett,IND,QB,27,15,15,1,1,2942,18,447,228,4,56,2,0,215.68,6,7,5,2019
89,Daniel Jones,NYG,QB,22,13,12,0,0,3027,24,459,279,2,45,0,0,210.98,12,18,11,2019
90,Andy Dalton,CIN,QB,32,13,13,1,1,3494,16,528,73,4,32,-4,0,199.66,14,8,4,2019
91,Mitchell Trubisky,CHI,QB,25,15,15,0,0,3138,17,516,193,2,48,0,0,200.82,10,5,2,2019
92,Sam Darnold,NYJ,QB,22,13,13,0,0,3024,19,441,62,2,33,0,0,183.16,13,11,3,2019
93,Kyle Allen,CAR,QB,23,13,12,0,0,3322,17,489,106,2,32,0,0,177.48,16,13,7,2019
94,Matthew Stafford,DET,QB,31,8,8,0,0,2499,19,291,66,0,20,0,0,166.56,5,5,3,2019
95,Devonta Freeman,ATL,RB,27,14,14,70,59,0,0,0,656,2,184,410,4,197.6,0,3,2,2019
96,Melvin Gordon,LAC,RB,26,12,11,55,42,0,0,0,612,8,162,296,1,180.8,0,4,3,2019
97,Ronald Jones,TAM,RB,22,16,9,40,31,0,0,0,724,6,172,309,0,166.3,0,3,2,2019
98,Adrian Peterson,WAS,RB,34,15,15,23,17,0,0,0,898,5,211,142,0,147,0,3,2,2019
99,D.K. Metcalf,SEA,WR,22,16,15,100,58,0,0,0,11,0,2,900,7,185.1,0,3,3,2019
100,James White,NWE,RB,27,15,1,95,72,35,0,1,263,1,67,645,5,198.2,0,1,1,2019
101,Odell Beckham,CLE,WR,27,16,15,133,74,20,0,2,10,0,3,1035,4,201.3,0,1,1,2019
102,Emmanuel Sanders,2TM,WR,32,17,16,97,66,35,1,1,0,0,0,869,5,188.3,0,0,0,2019
103,Latavius Murray,NOR,RB,29,16,8,43,34,0,0,0,637,5,146,235,1,157.2,0,0,0,2019
104,Darius Slayton,NYG,WR,22,14,9,84,48,0,0,0,0,0,0,740,8,170,0,0,0,2019
105,Jamison Crowder,NYJ,WR,26,16,12,122,78,0,0,0,4,0,1,833,6,197.7,0,0,0,2019
106,Devin Singletary,BUF,RB,22,12,8,41,29,0,0,0,775,2,151,194,2,147.9,0,4,1,2019
107,Cole Beasley,BUF,WR,30,15,10,106,67,0,0,0,0,0,0,778,6,180.8,0,0,0,2019
108,Curtis Samuel,CAR,WR,23,16,15,105,54,0,0,0,130,1,19,627,6,171.7,0,0,0,2019
109,Tevin Coleman,SFO,RB,26,14,11,30,21,0,0,0,544,6,137,180,1,135.4,0,0,0,2019
110,James Conner,PIT,RB,24,10,10,38,34,0,0,0,464,4,116,251,3,145.5,0,1,1,2019
111,Mike Williams,LAC,WR,25,15,15,90,49,0,0,0,2,0,1,1001,2,161.3,0,0,0,2019
112,Damien Williams,KAN,RB,27,11,6,37,30,0,0,0,498,5,111,213,2,141.1,0,1,1,2019
113,Robby Anderson,NYJ,WR,26,16,15,96,52,0,0,0,4,0,1,779,5,160.3,0,1,0,2019
114,Chris Conley,JAX,WR,27,16,14,90,47,0,0,0,0,0,0,775,5,154.5,0,0,0,2019
115,Duke Johnson,HOU,RB,26,16,2,62,44,0,0,0,410,2,83,410,3,154,0,1,1,2019
116,Mason Rudolph,PIT,QB,24,10,8,0,0,1765,13,283,42,0,21,0,0,108.8,9,4,0,2019
117,Jamaal Williams,GNB,RB,24,14,2,45,39,0,0,0,460,1,107,253,5,146.3,0,0,0,2019
118,David Johnson,ARI,RB,28,13,9,47,36,0,0,0,345,2,94,370,4,141.5,0,1,1,2019
119,Diontae Johnson,PIT,WR,23,16,12,92,59,0,0,0,41,0,4,680,5,157.1,0,5,2,2019
120,Case Keenum,WAS,QB,31,10,8,0,0,1707,11,247,12,1,9,0,0,103.48,5,6,3,2019
121,Golden Tate,NYG,WR,31,11,10,85,49,0,0,0,16,0,1,676,6,152.2,0,1,1,2019
122,Larry Fitzgerald,ARI,WR,36,16,16,109,75,0,0,0,0,0,0,804,4,177.4,0,1,1,2019
123,Breshad Perriman,TAM,WR,26,14,4,69,36,0,0,0,16,0,2,645,6,138.1,0,0,0,2019
124,Peyton Barber,TAM,RB,25,16,7,24,16,0,0,0,470,6,154,115,1,114.5,0,1,1,2019
125,Jordan Howard,PHI,RB,25,10,4,14,10,0,0,0,525,6,119,69,1,111.4,0,0,0,2019
