Rank,Player,Team,Bye,POS,Yahoo,Fantrax,FFC,Sleeper,AVG
1,Jonathan Taylor,IND,14,RB1,1,1,1,1,1
2,Austin Ekeler,LAC,8,RB2,3,2,3,4,3
3,Cooper Kupp,LAR,7,WR1,2,3,4,5,3.5
4,Derrick Henry,TEN,6,RB3,5,5,2,3,3.8
5,Christian McCaffrey,CAR,13,RB4,4,4,6,2,4
6,Justin Jefferson,MIN,7,WR2,6,6,7,6,6.3
7,Najee Harris,PIT,9,RB5,9,7,5,8,7.3
8,Dalvin Cook,MIN,7,RB6,7,8,9,7,7.8
9,Ja'Marr Chase,CIN,10,WR3,8,9,11,9,9.3
10,Joe Mixon,CIN,10,RB7,10,11,8,10,9.8
11,Davante Adams,LV,6,WR4,12,10,13,11,11.5
12,Stefon Diggs,BUF,7,WR5,11,12,14,14,12.8
13,Nick Chubb,CLE,9,RB8,13,17,10,15,13.8
14,Travis Kelce,KC,8,TE1,15,13,16,12,14
15,D'Andre Swift,DET,6,RB9,17,16,12,13,14.5
16,Aaron Jones,GB,14,RB10,14,22,15,19,17.5
17,CeeDee Lamb,DAL,9,WR6,16,21,17,16,17.5
18,Deebo Samuel,SF,9,WR7,19,15,18,24,19
19,Alvin Kamara,NO,14,RB11,22,18,20,17,19.3
20,Javonte Williams,DEN,9,RB12,24,14,19,23,20
21,Saquon Barkley,NYG,9,RB13,23,23,21,18,21.3
22,Tyreek Hill,MIA,11,WR8,26,19,22,20,21.8
23,Josh Allen,BUF,7,QB1,20,27,23,21,22.8
24,Leonard Fournette,TB,11,RB14,18,24,25,25,23
25,Mark Andrews,BAL,10,TE2,25,20,26,22,23.3
26,Mike Evans,TB,11,WR9,21,29,24,26,25
27,A.J. Brown,PHI,7,WR10,32,26,29,27,28.5
28,Keenan Allen,LAC,8,WR11,29,28,28,31,29
29,Ezekiel Elliott,DAL,9,RB15,27,37,27,28,29.8
30,Tee Higgins,CIN,10,WR12,28,30,32,33,30.8
31,James Conner,ARI,13,RB16,30,36,31,30,31.8
32,Cam Akers,LAR,7,RB17,33,25,37,34,32.3
33,David Montgomery,CHI,14,RB18,35,34,30,35,33.5
34,Kyle Pitts,ATL,14,TE3,37,33,43,29,35.5
35,Patrick Mahomes II,KC,8,QB2,34,40,36,32,35.5
36,Michael Pittman Jr.,IND,14,WR13,31,43,34,42,37.5
37,Justin Herbert,LAC,8,QB3,36,41,38,36,37.8
38,Antonio Gibson,WAS,14,RB19,41,32,35,44,38
39,Terry McLaurin,WAS,14,WR14,42,44,39,40,41.3
