,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,2021 Tm,Pos,AVG,Prediction
0,Jonathan Taylor,0,217,333,97.25065274,59.72315731,IND,RB,1,299.0515966
1,Austin Ekeler,309,111,274,84.16,79.97979128,LAC,RB,3,290.0818174
2,Cooper Kupp,270.5,117,295,100.2291667,84.27473197,LAR,WR,3.5,301.5564495
3,Derrick Henry,294.6,314,175,36.85355649,67.39717519,TEN,RB,3.8,247.2702853
4,Christian McCaffrey,469.2,73,91,39.35,47.96204351,CAR,RB,4,233.0630298
5,Justin Jefferson,0,186,222,101.3818182,69.07406459,MIN,WR,6.3,282.060611
6,Najee Harris,0,0,227,71.09476309,23.69825436,PIT,RB,7.3,268.1423813
7,Dalvin Cook,292.4,294,172,60.59395973,69.72421783,MIN,RB,7.8,249.7391941
8,Ja'Marr Chase,0,0,224,121.1148325,40.37161085,CIN,WR,9.3,278.8122707
9,Joe Mixon,225.4,79,246,72.23529412,55.58549518,CIN,RB,9.8,274.1604282
10,Davante Adams,210.7,243,221,85.69863014,72.25798494,GNB,WR,11.5,271.8804041
11,Stefon Diggs,212.1,202,183,78.6329588,92.43666977,BUF,WR,12.8,263.7471279
12,Nick Chubb,255.2,192,195,79.7944664,77.59108017,CLE,RB,13.8,254.909998
13,Travis Kelce,254.3,208,171,80.56637168,83.75597225,KAN,TE,14,257.0406201
14,D'Andre Swift,0,144,147,61.08296943,42.86391379,DET,RB,14.5,245.2232497
15,Aaron Jones,314.8,212,177,76.27118644,79.07524397,GNB,RB,17.5,250.8805018
16,CeeDee Lamb,0,144,154,95.1959799,61.22388519,DAL,WR,17.5,253.2616426
17,Deebo Samuel,187.1,48,262,144.1616162,95.7567706,SFO,WR,19,285.1867554
18,Alvin Kamara,248.52,295,188,56.99674267,71.32722167,NOR,RB,19.3,248.2934238
19,Javonte Williams,0,0,162,81.4140625,27.13802083,DEN,RB,20,247.3134134
20,Saquon Barkley,244.1,9,108,51.05022831,40.90656215,NYG,RB,21.3,230.6712462
21,Tyreek Hill,188.3,242,186,84.62222222,84.31698637,KAN,WR,21.8,257.0831541
22,Leonard Fournette,259.4,96,187,67.66666667,63.76426941,TAM,RB,23,251.9833096
23,Mark Andrews,207.2,112,194,89.57692308,79.09404962,BAL,TE,23.3,260.488813
24,Mike Evans,230.7,179,189,90.12765957,87.69210777,TAM,WR,25,255.3625319
25,A.J. Brown,217.1,178,118,68.4047619,95.51861047,TEN,WR,28.5,232.8518926
26,Keenan Allen,261.5,145,152,69.59695817,67.81261042,LAC,WR,29,244.2661906
27,Ezekiel Elliott,311.7,172,205,73.23509934,71.12086517,DAL,RB,29.8,251.7318271
28,Tee Higgins,0,128,145,83.4673913,56.5310352,CIN,WR,30.8,242.5050807
29,James Conner,145.5,130,221,71.26556017,58.63760933,ARI,RB,31.8,252.778761
30,Cam Akers,0,91,1,1.625,21.00917191,LAR,RB,32.3,186.311408
31,David Montgomery,170.4,211,153,54.49637681,63.07417477,CHI,RB,33.5,234.3499783
32,Michael Pittman Jr.,0,59,151,88.68202765,52.29994981,IND,WR,37.5,242.3210146
33,Antonio Gibson,0,166,187,69.21290323,46.03358456,WAS,RB,38,243.2026517
34,Terry McLaurin,191.9,137,137,87.87439614,83.97291534,WAS,WR,41.3,235.1032271
35,Jaylen Waddle,0,0,142,67.21311475,22.40437158,MIA,WR,41.5,235.3103938
36,George Kittle,222.5,77,127,79.41818182,68.41041496,SFO,TE,42.8,231.0930886
37,Diontae Johnson,157.1,134,167,70.84057971,69.62228999,PIT,WR,43,242.6370721
38,Josh Jacobs,191.6,198,172,65.60498221,63.85669569,LVR,RB,44.3,235.7015565
39,Elijah Mitchell,0,0,146,53.59471366,17.86490455,SFO,RB,45.5,222.6164721
40,Darren Waller,221,172,79,49.57432432,71.73434459,LVR,TE,46.8,210.1376616
41,Mike Williams,161.3,106,171,90.14634146,94.84647617,LAC,WR,49.3,241.2644056
42,AJ Dillon,0,38,152,85.22767857,48.65228175,GNB,RB,58.8,226.6213478
43,Courtland Sutton,222.42,7,92,84.78205128,61.58948195,DEN,WR,60,213.3959278
44,Jerry Jeudy,0,106,47,50,44.43232323,DEN,WR,60.5,194.7208012
45,Damien Harris,1.2,86,192,72.37668161,43.37093091,NWE,RB,60.8,232.161927
46,Brandin Cooks,117.5,151,142,76,80.30935673,HOU,WR,62,225.1813175
47,Marquise Brown,146.4,125,135,68.79324895,72.76533593,BAL,WR,62.5,221.9973342
48,Clyde Edwards-Helaire,0,140,99,45.91549296,35.68105084,KAN,RB,63.3,204.076692
49,Dalton Schultz,1.6,84,131,76.21978022,57.79255832,DAL,TE,64.8,220.313468
50,T.J. Hockenson,80.7,108,84,48.57931034,55.55574081,DET,TE,64.8,201.1898283
51,Amari Cooper,246.5,145,135,76.13372093,85.0011666,DAL,WR,65,221.4333006
52,Chris Godwin,274.1,126,144,70.31111111,76.61007468,TAM,WR,65.5,225.7859342
53,Miles Sanders,216.7,142,91,64,70.52555862,PHI,RB,70.3,201.3823235
54,Gabriel Davis,0,102,91,90.6122449,63.52366926,BUF,WR,71.8,206.5046296
55,Amon-Ra St. Brown,0,0,137,79.63157895,26.54385965,DET,WR,72,219.4504286
56,Adam Thielen,114.4,180,133,59.22222222,64.36833537,MIN,WR,73.8,210.3948697
57,Darnell Mooney,0,91,139,84,49.9706499,CHI,WR,76,219.8960105
58,JuJu Smith-Schuster,113.2,137,20,16.1627907,45.12013658,PIT,WR,78.3,169.2896872
